circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
cp,8,8,mtp,13.30859375,12.267578125,128,57
cp,8,8,speculative,13.328125,12.306640625,128,57
cp,8,16,mtp,13.484375,12.462890625,128,57
cp,8,16,speculative,13.484375,12.462890625,128,57
cp,8,32,mtp,13.796875,12.775390625,128,57
cp,8,32,speculative,13.796875,12.775390625,128,57
cp,16,8,mtp,13.484375,12.462890625,128,57
cp,16,8,speculative,13.484375,12.462890625,128,57
cp,16,16,mtp,13.796875,12.775390625,128,57
cp,16,16,speculative,13.796875,12.775390625,128,57
cp,16,32,mtp,14.421875,13.400390625,128,57
cp,16,32,speculative,14.421875,13.400390625,128,57
btree,8,8,mtp,13.328125,12.30859375,128,57
btree,8,8,speculative,13.328125,12.30859375,128,57
btree,8,16,mtp,13.484375,12.462890625,128,57
btree,8,16,speculative,13.484375,12.462890625,128,57
btree,8,32,mtp,13.8359375,12.833984375,128,57
btree,8,32,speculative,13.8359375,12.833984375,128,57
btree,16,8,mtp,13.484375,12.46484375,128,57
btree,16,8,speculative,13.484375,12.46484375,128,57
btree,16,16,mtp,13.81640625,12.794921875,128,57
btree,16,16,speculative,13.81640625,12.794921875,128,57
btree,16,32,mtp,14.5390625,13.517578125,128,57
btree,16,32,speculative,14.5390625,13.517578125,128,57
