circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
cp,8,8,mtp,13.30859375,12.267578125,1024,57
cp,8,8,speculative,13.34765625,12.306640625,1024,57
cp,8,16,mtp,13.484375,12.462890625,1024,57
cp,8,16,speculative,13.484375,12.462890625,1024,57
cp,8,32,mtp,13.796875,12.775390625,1024,57
cp,8,32,speculative,13.796875,12.775390625,1024,57
cp,8,64,mtp,14.421875,13.400390625,1024,57
cp,8,64,speculative,14.421875,13.400390625,1024,57
cp,8,128,mtp,15.671875,14.65234375,1024,57
cp,8,128,speculative,15.671875,14.65234375,1024,57
cp,16,8,mtp,13.484375,12.462890625,1024,57
cp,16,8,speculative,13.50390625,12.462890625,1024,57
cp,16,16,mtp,13.796875,12.775390625,1024,57
cp,16,16,speculative,13.81640625,12.775390625,1024,57
cp,16,32,mtp,14.421875,13.400390625,1024,57
cp,16,32,speculative,14.44140625,13.400390625,1024,57
cp,16,64,mtp,15.671875,14.650390625,1024,57
cp,16,64,speculative,15.69140625,14.650390625,1024,57
cp,16,128,mtp,18.171875,17.15234375,1024,57
cp,16,128,speculative,18.19140625,17.15234375,1024,57
